lat,lon,alt,years,vars
-12.0431,-77.0282,150,30,WS-WD-T-PP-HR-RAD
-11.8500,-76.0500,3100,18,T-PP
-12.0500,-76.0500,3250,22,WS-WD-T-PP-HR
-11.9500,-75.9500,3400,2,WS-WD-T-PP-HR-RAD
-11.9500,-76.1500,2900,10,RAD-T
-11.8800,-75.9800,3200,14,T-PP-HR
-12.0200,-76.1200,3350,21,WS-WD-T-PP-HR
-13.5226,-71.9673,3400,25,WS-WD-T-PP-HR-RAD
-13.5011,-71.9802,3450,12,T-PP
-13.5433,-71.9511,3380,31,WS-WD-T-PP-HR
-16.3988,-71.5369,2335,40,WS-WD-T-PP-HR-RAD
-16.3512,-71.5022,2400,17,T-PP
-3.7491,-73.2538,106,15,T-PP-HR
-9.2973,-75.9987,1900,10,T-PP
-14.0833,-75.7333,400,22,WS-WD-T-PP-HR-RAD
-8.1090,-79.0215,34,50,WS-WD-T-PP-HR-RAD
-6.7713,-79.8408,29,28,T-PP
-5.1944,-80.6328,29,18,WS-WD-T-PP-HR
-12.0651,-75.2048,3259,45,WS-WD-T-PP-HR-RAD
-9.5277,-77.5277,3052,12,T-PP
-18.0146,-70.2536,562,20,RAD-T
-7.1638,-78.5002,2750,33,WS-WD-T-PP-HR
-11.8351,-76.0406,4818,8,T-PP-HR
-4.5772,-76.9681,200,5,RAD-T
-10.7487,-77.7533,50,14,WS-WD-T-PP-HR
-17.1983,-70.9356,15,21,T-PP
-14.6291,-74.4533,3000,19,WS-WD
-8.3842,-74.5539,150,27,WS-WD-T-PP-HR-RAD
-13.1611,-74.2255,2761,31,T-PP
-11.4402,-74.4623,1200,9,WS-WD-T-PP-HR
-5.9015,-76.1213,200,16,RAD-T
-15.2662,-74.9658,50,24,T-PP-HR
-10.0619,-76.3205,3900,38,WS-WD-T-PP-HR-RAD
-6.0341,-76.9716,2600,11,T-PP
-12.5536,-73.1328,800,7,WS-WD-T-PP-HR
-14.2492,-71.0504,3950,29,RAD-T
-7.1481,-76.6515,350,17,WS-WD
-11.3916,-76.5113,3200,26,WS-WD-T-PP-HR-RAD
-15.8402,-70.0218,3827,35,T-PP
-9.1234,-77.1234,3100,4,RAD-T-WS-WD
-12.1234,-75.1234,3200,1,WS-WD
-13.9876,-73.9876,2500,8,T-PP-HR
-5.0500,-73.0500,120,5,T-PP
-3.0500,-72.0500,110,2,WS-WD-T-PP
-16.0500,-72.0500,2100,11,RAD-T-HR
